Player Name,Team,World,Vehicle Type,Companion,Kart Racing Rank,Platforming Rank,Boss Battle Rank,Power-Ups Used,Kart Role,Team Points,Lives Lost,Participation in Battle Mode,Mushroom Cup Participation,Power-Ups Owned,Coins Spent in Toad Town,Levels Completed,Times Hit by Enemies,Primary Game
,Sarasaland Stars,Toad Town,Comet Bike,Goomba,B,C,C,18,Blocker,3.0,3.0,No,No,Banana Peel,479,68,3.0,Super Mario World
Bowser Jr.,Mushroom Royalty,Koopa Kingdom,Circuit Special,Shy Guy,C,D,S,11,Driver,174.0,1.0,No,Yes,1-Up Mushroom,439,67,7.0,Mario Strikers
Toadette,Red Caps,Mushroom Kingdom,Comet Bike,Goomba,A,B,S,13,Item Specialist,-25.0,5.946,No,No,Super Mushroom,161,66,6.09,Mario Tennis Aces
Daisy,Red Caps,Toad Town,Biddybuggy,Koopa Troopa,A,B,A,9,Item Specialist,-93.0,2.0,Yes,Yes,"Fire Flower, Red Shell, 1-Up Mushroom",269,36,4.0,Mario Kart 8 Deluxe
Rosalina,Sarasaland Stars,Star World,Standard Kart,Shy Guy,S,D,C,19,Blocker,152.0,2.1941,No,No,"Green Shell, Super Mushroom",500,61,10.0,Super Mario Odyssey
Toadette,Green Caps,Donut Plains,Comet Bike,Shy Guy,,D,S,20,Item Spec%ialist,-60.0,3.0,Yes,,"Super Star, Green Shell",349,49,6.0,Super Mario World
,Green Caps,Koopa Kingdom,Scooter,Toad,B,S,D,16,Blocker*,3.0,0.0,No,Yes,"Red Shell, Fire Flower, Super Mushroom",224,44,8.0,Super Mario Bros.
Luigi,Mushroom Royalty,                           Toad Town                           ,Comet Bike,Polterpup,A,C,D,28,Item Specialist,-44.0,4.0,Yes,No,"Red Shell, 1-Up Mushroom",342,84,0.0,Mario Party Superstars
Luigi,TOAD BRIGADE,Mushroom Kingdom,Pipe Frame,Toad,A,S,D,19,Drifter,133.0,1.53,Yes,Yes,"Fire Flower, Banana Peel",186,78,2.0,Mario Party Superstars
Bowser Jr.,Mushroom Royalty,Donut Plains,Pipe Frame,Yoshi,B,B,A,26,Driver,111.0,5.0,No,,"Super Mushroom, Banana Peel, Fire Flower",13,45,4.6577,Super Mario Odyssey
Yoshi,Dino Buddies,Toad Town,Scooter,Luma,,C,S,30,Item Specialist,160.0,3.0,Yes,No,"Banana Peel, Fire Flower, 1-Up Mushroom",388,25,7.0,Super Mario Bros.
Daisy,Red Caps,Donut Plains,Circuit Special,Yoshi,C,B,S,18,Drifter,52.0,5.127,No,No,"1-Up Mushroom, Red Shell",383,100,3.0,Super Mario World
Bowser,Koopa Clan,Koopa Kingdom,Mach 8,Toad,S,C,D,15,Blocker,146.0,1.0,No,No,"Banana Peel, Green Shell, Super Mushroom",200,84,2.0,Super Mario Bros.
,Green Caps,Mushroom Kingdom,                  Pipe Frame         ,Goomba,B,A,B,23,Drifter,-39.0,4.0,Yes,Yes,Red Shell,143,28,5.0,Mario Party Superstars
Bowser,Sarasaland Stars,Mushroom Kingdom,Scooter,Yoshi,S,A,D,11,Driver,71.0,4.0,Yes,,Green Shell,102,85,9.0,Super Mario Odyssey
,GREEN CAPS,Toad Town,Pipe Frame,Goomba,D,C,S,17,Speedster,99.0,5.0,No,,"Banana Peel, Green Shell",314,94,4.20579,Mario Strikers
Toad,Sarasaland Stars,Mushroom Kingdom,Scooter,Yoshi,S,B,D,18,Speedster,187.0,1.0,No,Yes,"Green Shell, Super Mushroom",269,95,10.0,Super Mario World
Waluigi,Tricksters,Yoshi's Island,                           Circuit Special         ,Shy Guy,,C,S,9,Drifter,7.0,2.0,No,,Red Shell,240,91,9.0,Mario Strikers
Luigi,,Koopa Kingdom,Standard Kart,Yoshi,B,B,D,30,Driver,-98.0,5.0,No,Yes,Green Shell,70,68,2.0,Super Mario Bros.
Toadette,,Yoshi's Island,Comet Bike,Goomba,B,B,D,11,Drifter,39.0,4.0,Yes,,Fire Flower,443,72,4.0,Mario Strikers
Yoshi,Red Caps,Toad Town,                           Circuit Special         ,Toad,S,D,S,24,Speedster,177.0,1.790332,No,No,Red Shell,30,61,5.0,Mario Tennis Aces
Peach,Dino Buddies,Toad Town,Biddybuggy,Yoshi,B,A,D,16,Speedster,-73.0,2.0,No,,"Red Shell, 1-Up Mushroom, Super Star",298,32,4.0,Mario Party Superstars
Toad,Dino Buddies,Donut Plains,                  Comet Bike         ,Shy Guy,C,B,A,8,Blocker,-42.0,1.0,Yes,Yes,"Green Shell, Red Shell, Fire Flower",60,83,6.0,Super Mario Odyssey
