Player Name,Team,World,Vehicle Type,Companion,Kart Racing Rank,Platforming Rank,Boss Battle Rank,Power-Ups Used,Kart Role,Team Points,Lives Lost,Participation in Battle Mode,Mushroom Cup Participation,Power-Ups Owned,Coins Spent in Toad Town,Levels Completed,Times Hit by Enemies,Primary Game
Yoshi,Toad Brigade,Yoshi's Island,Comet Bike,pOLTERPUP,A,A,A,12,Drifter,-34.0,0.0,Yes,No,1-Up Mushroom,64,26,4.26,         Mario Tennis Aces         
PeachK,GREEN CAPS,Donut Plains,Circuit Special,kOOPA tROOPA,C,A,B,16,Drifter,149.0,4.0,No,No,"Red Shell, Super Star",335,40,5.0,Mario Tennis Aces
Waluigi,,Yoshi's Island,Biddybuggy,Goomba,D,A,C,26,Blocker,174.0,1.0,No,Yes,Green Shell,182,57,5.5,Mario Kart 8 Deluxe
Yoshi,Toad Brigade,Star World,Pipe Frame,Goomba,C,D,A,23,Drifter,-1.0,5.0,No,Yes,1-Up Mushroom,333,84,6.0,Super Mario Bros.
Bowser Jr.,Koopa Clan,Mushroom Kingdom,Pipe Frame,tOAD,C,C,B,10,Blocker,28.0,2.0,Yes,No,"Red Shell, Banana Peel, Fire Flower",461,55,7.0,Super Mario World
Waluigi,Red Caps,Toad Town,Comet Bike,Goomba,S,B,D,28,Speedster,74.0,1.0,No,Yes,Banana Peel,350,96,1.0,                           Super Mario World                  
Peach,Green Caps,Star World,Comet Bike,Goomba,D,D,S,19,Item Specialist,-53.0,4.0,Yes,Yes,"Super Mushroom, 1-Up Mushroom",154,59,9.0,Mario Party Superstars
Bowser kJr.,Green Caps,Star World,Scooter,Luma,,S,B,15,Drifter,154.0,4.0,No,Yes,"Fire Flower, Super Star, Super Mushroom",192,89,2.0,                  Mario Strikers                  
Peach,Toad Brigade,Star World,Comet Bike,pOLTERPUP,A,B,C,23,Drifter,82.0,1.0,No,No,Red Shell,179,79,0.0,Super Mario Odyssey
Toadette,Tricksters,Mushroom Kingdom,Standard Kart,pOLTERPUP,,D,S,25,Item Specialist,-3.0,3.0,No,No,"Super Mushroom, Super Star",270,80,2.0,Super Mario World
